,court,date,weekday,playerCount,guestPlayerCount,playMode,startTime
0,12,19.05.2021,Wednesday,1,0,Training,18:30
0,12,19.05.2021,Wednesday,1,0,Training,18:45
0,12,19.05.2021,Wednesday,1,0,Training,19:00
0,12,19.05.2021,Wednesday,1,0,Training,19:15
0,12,19.05.2021,Wednesday,1,0,Training,19:30
0,12,19.05.2021,Wednesday,1,0,Training,19:45
1,9,19.05.2021,Wednesday,1,0,Training,13:00
1,9,19.05.2021,Wednesday,1,0,Training,13:15
1,9,19.05.2021,Wednesday,1,0,Training,13:30
1,9,19.05.2021,Wednesday,1,0,Training,13:45
1,9,19.05.2021,Wednesday,1,0,Training,14:00
1,9,19.05.2021,Wednesday,1,0,Training,14:15
1,9,19.05.2021,Wednesday,1,0,Training,14:30
1,9,19.05.2021,Wednesday,1,0,Training,14:45
1,9,19.05.2021,Wednesday,1,0,Training,15:00
1,9,19.05.2021,Wednesday,1,0,Training,15:15
1,9,19.05.2021,Wednesday,1,0,Training,15:30
1,9,19.05.2021,Wednesday,1,0,Training,15:45
1,9,19.05.2021,Wednesday,1,0,Training,16:00
1,9,19.05.2021,Wednesday,1,0,Training,16:15
1,9,19.05.2021,Wednesday,1,0,Training,16:30
1,9,19.05.2021,Wednesday,1,0,Training,16:45
1,9,19.05.2021,Wednesday,1,0,Training,17:00
1,9,19.05.2021,Wednesday,1,0,Training,17:15
1,9,19.05.2021,Wednesday,1,0,Training,17:30
1,9,19.05.2021,Wednesday,1,0,Training,17:45
1,9,19.05.2021,Wednesday,1,0,Training,18:00
1,9,19.05.2021,Wednesday,1,0,Training,18:15
1,9,19.05.2021,Wednesday,1,0,Training,18:30
1,9,19.05.2021,Wednesday,1,0,Training,18:45
1,9,19.05.2021,Wednesday,1,0,Training,19:00
1,9,19.05.2021,Wednesday,1,0,Training,19:15
1,9,19.05.2021,Wednesday,1,0,Training,19:30
2,7,19.05.2021,Wednesday,1,0,Training,13:00
2,7,19.05.2021,Wednesday,1,0,Training,13:15
2,7,19.05.2021,Wednesday,1,0,Training,13:30
2,7,19.05.2021,Wednesday,1,0,Training,13:45
2,7,19.05.2021,Wednesday,1,0,Training,14:00
2,7,19.05.2021,Wednesday,1,0,Training,14:15
2,7,19.05.2021,Wednesday,1,0,Training,14:30
2,7,19.05.2021,Wednesday,1,0,Training,14:45
2,7,19.05.2021,Wednesday,1,0,Training,15:00
2,7,19.05.2021,Wednesday,1,0,Training,15:15
2,7,19.05.2021,Wednesday,1,0,Training,15:30
2,7,19.05.2021,Wednesday,1,0,Training,15:45
2,7,19.05.2021,Wednesday,1,0,Training,16:00
2,7,19.05.2021,Wednesday,1,0,Training,16:15
2,7,19.05.2021,Wednesday,1,0,Training,16:30
2,7,19.05.2021,Wednesday,1,0,Training,16:45
2,7,19.05.2021,Wednesday,1,0,Training,17:00
2,7,19.05.2021,Wednesday,1,0,Training,17:15
2,7,19.05.2021,Wednesday,1,0,Training,17:30
2,7,19.05.2021,Wednesday,1,0,Training,17:45
2,7,19.05.2021,Wednesday,1,0,Training,18:00
2,7,19.05.2021,Wednesday,1,0,Training,18:15
2,7,19.05.2021,Wednesday,1,0,Training,18:30
2,7,19.05.2021,Wednesday,1,0,Training,18:45
2,7,19.05.2021,Wednesday,1,0,Training,19:00
2,7,19.05.2021,Wednesday,1,0,Training,19:15
2,7,19.05.2021,Wednesday,1,0,Training,19:30
3,6,19.05.2021,Wednesday,1,0,Training,13:00
3,6,19.05.2021,Wednesday,1,0,Training,13:15
3,6,19.05.2021,Wednesday,1,0,Training,13:30
3,6,19.05.2021,Wednesday,1,0,Training,13:45
3,6,19.05.2021,Wednesday,1,0,Training,14:00
3,6,19.05.2021,Wednesday,1,0,Training,14:15
3,6,19.05.2021,Wednesday,1,0,Training,14:30
3,6,19.05.2021,Wednesday,1,0,Training,14:45
3,6,19.05.2021,Wednesday,1,0,Training,15:00
3,6,19.05.2021,Wednesday,1,0,Training,15:15
3,6,19.05.2021,Wednesday,1,0,Training,15:30
